Username,Date,Time,Tweet ID,Tweet
Bruno Rodrigues,2023-05-24,00:11:00,1661162848238665730,"RT @FozFrancisco: ""Os profissionais de biblioteconomia desempenham um papel crucial na criação de metadados para os conjuntos de dados util…"
Tashara She In,2023-05-24,00:10:28,1661162715409264640,"RT @imoreirasalles: ▶️ Estágio na área de Coordenadoria de Literatura (Rio de Janeiro)
ℹ️ Cursando nível superior em Biblioteconomia ou Ciê…"
Thali,2023-05-24,00:08:13,1661162149346004993,Oi curso de biblioteconomia eu sonho com você todo dia https://t.co/1G62uszK4Z
brendinha🌱,2023-05-23,23:48:11,1661157104432840704,"RT @hey_becah: faculdade de biblioteconomia é tipo meu deus tenho q encher 3 estantes de livros e aprender o tom de fazer o ""shhh"" ate quin…"
heloisa?,2023-05-23,23:45:57,1661156544921104384,"RT @hey_becah: faculdade de biblioteconomia é tipo meu deus tenho q encher 3 estantes de livros e aprender o tom de fazer o ""shhh"" ate quin…"
paula | vai vê o RBD🦋,2023-05-23,23:40:37,1661155201116692481,"*na faculdade de Biblioteconomia e Documentação*
-gente, só consegui pegar 2 matérias nesse período
-quais???
-Shhhiiiiii 1 e Organização dos livros e da documentação. https://t.co/kmncpeyiqR"
bequinha da biblio ☭,2023-05-23,23:33:54,1661153510929604608,"faculdade de biblioteconomia é tipo meu deus tenho q encher 3 estantes de livros e aprender o tom de fazer o ""shhh"" ate quinta feira https://t.co/zo3msrbnhV"
Francisco Foz,2023-05-23,23:31:44,1661152964558598144,"""A biblioteconomia na inteligência artificial contribui para a curadoria de dados e a eliminação de viéses nos conjuntos de treinamento dos modelos."""
Francisco Foz,2023-05-23,23:31:43,1661152962495016961,"""A aplicação dos princípios da biblioteconomia na inteligência artificial auxilia na preservação e disseminação de conhecimento de forma estruturada."""
Francisco Foz,2023-05-23,23:31:43,1661152960540479489,"""Os profissionais de biblioteconomia desempenham um papel crucial na criação de metadados para os conjuntos de dados utilizados em projetos de inteligência artificial."""
Memei,2023-05-23,23:13:02,1661148258474020865,Por que será que todo gótico faz Museologia ou Biblioteconomia?
bea,2023-05-23,22:44:06,1661140977250340864,@guidonadio isso é literalmente uma das leis da biblioteconomia: livros são para serem USADOS
❄︎❄︎,2023-05-23,22:38:08,1661139476658421761,@mais_sabio021 assiste 4 horas de aula de biblioteconomia e vc muda de ideia rapidim
Magli,2023-05-23,22:15:18,1661133732156256261,"RT @PochwatkaA: *na faculdade de Biblioteconomia*
- tenho apenas uma disciplina esse semestre
- qual?
- Shhhhhhhii"
moreno,2023-05-23,22:13:38,1661133313073872899,"RT @PochwatkaA: *na faculdade de Biblioteconomia*
- tenho apenas uma disciplina esse semestre
- qual?
- Shhhhhhhii"
CFB,2023-05-23,21:52:17,1661127937557426176,"É muito bom poder participar da formação de futuros profissionais de biblioteconomia. Hoje o nosso presidente, Fábio Cordeiro, é o convidado especial do III Encontro de Biblioteconomia Unimes Virtual. Não perca, faça sua inscrição aqui: https://t.co/77bcBC8fRj https://t.co/qaf6BfgfVW"
bot de tcc,2023-05-23,21:47:58,1661126854198145024,a gente em biblioteconomia tendo que aprender e a mandar calar a boca 🤫 https://t.co/I53dAn4XFE
Biblio Fora da Caixa,2023-05-23,21:14:00,1661118303312420904,"BIBLIOTECA DO CONGRESSO |  #Congress #of #Library - Washington (EUA)

Neste vídeo apresentamos a história e curiosidades da Biblioteca do Congresso do Estados Unidos da América. Você vai curtir essa história.

#biblioForadaCaixa
#biblioteconomia 
#biblio
 #libraryofcongress https://t.co/26Xi2JreCK"
